Date,Apple,Boeing,Nvdia,Palantir,Pfizer,Tesla,Netflix,Meta,Intel,LMT,Rivian
9/15/2023,$175.01 ,$208.11 ,$43.90 ,$15.33 ,$34.07 ,$274.39 ,$396.94 ,$300.31 ,$37.88 ,$424.05 ,$24.18
9/8/2023,$178.18 ,$211.27 ,$45.57 ,$15.13 ,$34.25 ,$248.50 ,$442.80 ,$297.89 ,$38.01 ,$423.09 ,$23.10
9/1/2023,$189.46 ,$223.40 ,$48.51 ,$15.18 ,$35.78 ,$245.01 ,$439.88 ,$296.38 ,$36.61 ,$448.18 ,$23.31
8/25/2023,$178.61 ,$223.41 ,$46.02 ,$14.53 ,$36.38 ,$238.59 ,$416.03 ,$285.50 ,$33.25 ,$451.09 ,$20.07
8/18/2023,$174.49 ,$226.65 ,$43.30 ,$14.40 ,$36.66 ,$215.49 ,$404.53 ,$283.25 ,$32.75 ,$450.06 ,$20.78
8/11/2023,$177.79 ,$235.72 ,$40.86 ,$15.41 ,$36.04 ,$242.65 ,$421.66 ,$301.64 ,$34.89 ,$454.05 ,$21.57
8/4/2023,$181.99 ,$231.36 ,$44.68 ,$18.20 ,$35.02 ,$253.86 ,$431.60 ,$310.73 ,$35.14 ,$445.72 ,$25.26
7/28/2023,$195.83 ,$238.69 ,$46.75 ,$17.81 ,$36.07 ,$266.44 ,$425.78 ,$325.48 ,$36.83 ,$449.00 ,$26.94
7/21/2023,$191.94 ,$211.80 ,$44.31 ,$16.43 ,$37.40 ,$260.02 ,$427.50 ,$294.26 ,$34.02 ,$454.76 ,$25.27
7/14/2023,$190.69 ,$213.12 ,$45.47 ,$16.40 ,$36.32 ,$281.38 ,$441.91 ,$308.87 ,$33.15 ,$464.31 ,$24.82
7/7/2023,$190.68 ,$212.10 ,$42.50 ,$15.34 ,$35.53 ,$274.43 ,$438.10 ,$290.53 ,$31.85 ,$458.71 ,$24.70
6/30/2023,$193.97 ,$211.16 ,$42.30 ,$15.33 ,$36.68 ,$261.77 ,$440.49 ,$286.98 ,$33.44 ,$460.38 ,$16.66
6/23/2023,$186.68 ,$205.41 ,$42.21 ,$14.03 ,$38.30 ,$256.60 ,$424.02 ,$288.73 ,$33.00 ,$459.36 ,$13.53
6/16/2023,$184.92 ,$219.99 ,$42.69 ,$16.30 ,$40.06 ,$260.54 ,$431.96 ,$281.00 ,$36.37 ,$459.17 ,$14.88
6/9/2023,$180.96 ,$217.31 ,$38.77 ,$15.02 ,$38.97 ,$244.40 ,$420.02 ,$264.95 ,$31.34 ,$462.69 ,$13.87
6/2/2023,$180.95 ,$213.32 ,$39.33 ,$14.52 ,$38.36 ,$213.97 ,$400.47 ,$272.61 ,$31.31 ,$454.49 ,$14.48
5/26/2023,$175.43 ,$203.63 ,$38.95 ,$13.65 ,$37.60 ,$193.17 ,$378.88 ,$262.04 ,$29.00 ,$448.45 ,$15.14
5/19/2023,$175.16 ,$205.49 ,$31.26 ,$11.71 ,$36.77 ,$180.14 ,$365.36 ,$245.64 ,$29.93 ,$454.49 ,$13.47
5/12/2023,$172.57 ,$200.70 ,$28.34 ,$9.50 ,$37.35 ,$167.98 ,$339.89 ,$233.81 ,$28.95 ,$450.79 ,$12.91
5/5/2023,$173.57 ,$198.34 ,$28.68 ,$7.41 ,$38.49 ,$170.06 ,$322.76 ,$232.78 ,$30.99 ,$455.54 ,$13.41
4/28/2023,$169.68 ,$206.78 ,$27.75 ,$7.75 ,$38.89 ,$164.31 ,$329.93 ,$240.32 ,$31.06 ,$464.45 ,$12.82
4/21/2023,$165.02 ,$205.15 ,$27.12 ,$8.18 ,$40.21 ,$165.08 ,$327.98 ,$212.89 ,$30.30 ,$482.55 ,$12.25
4/14/2023,$165.21 ,$201.71 ,$26.76 ,$8.81 ,$41.19 ,$185.00 ,$338.63 ,$221.49 ,$31.89 ,$487.99 ,$13.38
3/31/2023,$164.90 ,$212.43 ,$27.78 ,$8.45 ,$40.80 ,$207.46 ,$345.48 ,$211.94 ,$32.67 ,$472.73 ,$15.48
3/24/2023,$160.25 ,$197.53 ,$26.78 ,$8.20 ,$40.39 ,$190.41 ,$328.39 ,$206.01 ,$29.36 ,$474.54 ,$13.62
3/17/2023,$155.00 ,$201.05 ,$25.73 ,$7.88 ,$40.10 ,$180.13 ,$303.50 ,$195.61 ,$29.81 ,$465.87 ,$13.01
3/10/2023,$148.50 ,$203.07 ,$22.97 ,$7.35 ,$39.39 ,$173.44 ,$292.76 ,$179.51 ,$27.22 ,$475.50 ,$14.16
3/3/2023,$151.03 ,$215.11 ,$23.89 ,$8.33 ,$41.15 ,$197.79 ,$315.18 ,$185.25 ,$26.40 ,$477.89 ,$16.92
2/24/2023,$146.71 ,$198.15 ,$23.29 ,$8.09 ,$41.75 ,$196.88 ,$317.15 ,$170.39 ,$25.14 ,$480.40 ,$17.32
2/17/2023,$152.55 ,$211.66 ,$21.39 ,$9.20 ,$43.21 ,$208.31 ,$347.96 ,$172.88 ,$27.61 ,$475.63 ,$20.22
2/10/2023,$151.01 ,$212.89 ,$21.27 ,$7.51 ,$43.88 ,$196.89 ,$347.36 ,$174.15 ,$27.80 ,$480.83 ,$18.85
2/3/2023,$154.50 ,$206.01 ,$21.10 ,$8.41 ,$44.06 ,$189.98 ,$365.90 ,$186.53 ,$30.32 ,$459.08 ,$19.90
1/27/2023,$145.93 ,$211.17 ,$20.37 ,$7.55 ,$43.79 ,$177.90 ,$360.77 ,$151.74 ,$28.16 ,$459.60 ,$19.83
1/20/2023,$137.87 ,$206.76 ,$17.84 ,$7.02 ,$45.11 ,$133.42 ,$342.50 ,$139.37 ,$29.22 ,$443.28 ,$16.23
1/13/2023,$134.76 ,$214.13 ,$16.90 ,$6.96 ,$47.85 ,$122.40 ,$332.82 ,$136.98 ,$30.11 ,$449.83 ,$16.45
1/6/2023,$129.62 ,$213.00 ,$14.86 ,$6.40 ,$50.92 ,$113.06 ,$315.55 ,$130.02 ,$28.73 ,$473.24 ,$16.40
12/30/2022,$129.93 ,$190.49 ,$14.61 ,$6.42 ,$51.24 ,$123.18 ,$294.88 ,$120.34 ,$26.43 ,$486.49 ,$18.43
12/23/2022,$131.86 ,$189.06 ,$15.21 ,$6.29 ,$51.83 ,$123.15 ,$294.97 ,$118.04 ,$26.09 ,$483.29 ,$19.14
12/16/2022,$134.51 ,$184.70 ,$16.57 ,$6.90 ,$51.40 ,$150.23 ,$290.71 ,$119.43 ,$26.92 ,$481.79 ,$22.48
12/9/2022,$142.16 ,$179.54 ,$17.00 ,$7.11 ,$51.72 ,$179.05 ,$320.01 ,$115.90 ,$28.24 ,$483.58 ,$27.29
12/2/2022,$147.81 ,$182.87 ,$16.88 ,$7.66 ,$50.91 ,$194.86 ,$320.41 ,$123.49 ,$29.41 ,$496.23 ,$31.36
11/25/2022,$148.11 ,$178.36 ,$16.27 ,$7.28 ,$49.21 ,$182.86 ,$285.54 ,$111.41 ,$29.34 ,$483.46 ,$29.53
11/18/2022,$151.29 ,$173.89 ,$15.41 ,$7.39 ,$48.23 ,$180.19 ,$287.98 ,$112.05 ,$29.87 ,$476.82 ,$30.34
